rule_id,created_at,updated_at,category_id,category_name,impact_name,impact,likelihood,node_id,tags,playbook_count,reboot_required,publish_date,impacted_systems_count,reports_shown,rule_status,total_risk,hosts_acked_count,rating
rule_0,2024-06-11T00:00:00,2024-06-26T00:00:00,2,Security,Decreased Security,2,4,9694070,database,1,True,2024-06-29T00:00:00,2,True,enabled,2,5,3
rule_1,2024-06-27T00:00:00,2024-06-28T00:00:00,1,Availability,Best Practice,1,2,6754986,tuning,1,True,2024-06-28T00:00:00,2,True,enabled,2,5,3
rule_2,2024-06-02T00:00:00,2024-06-27T00:00:00,1,Availability,Best Practice,1,3,3660212,hardening,2,False,2024-06-11T00:00:00,5,True,enabled,3,3,2
rule_3,2024-06-17T00:00:00,2024-06-21T00:00:00,4,Performance,Decreased Security,2,3,3519521,performance,2,False,2024-06-25T00:00:00,8,True,enabled,1,5,0
rule_4,2024-06-02T00:00:00,2024-06-12T00:00:00,4,Performance,Best Practice,1,3,8828181,availability,2,False,2024-06-04T00:00:00,8,True,enabled,2,1,2
rule_5,2024-06-09T00:00:00,2024-06-13T00:00:00,3,Stability,Best Practice,1,2,4767946,logging,3,True,2024-06-09T00:00:00,3,True,enabled,2,0,2
rule_6,2024-06-14T00:00:00,2024-06-25T00:00:00,1,Availability,Database Performance Loss,2,3,6897949,performance,1,False,2024-06-29T00:00:00,8,True,enabled,1,1,1
rule_7,2024-06-06T00:00:00,2024-06-19T00:00:00,4,Performance,Best Practice,1,1,2652894,security,0,False,2024-06-25T00:00:00,2,True,enabled,4,4,2
rule_8,2024-06-02T00:00:00,2024-06-27T00:00:00,2,Security,Best Practice,1,5,2724265,logging,1,False,2024-06-26T00:00:00,8,True,enabled,3,1,2
rule_9,2024-06-22T00:00:00,2024-06-23T00:00:00,3,Stability,Decreased Security,2,5,2235071,availability,1,True,2024-06-27T00:00:00,9,True,enabled,4,2,0
rule_10,2024-06-21T00:00:00,2024-06-28T00:00:00,4,Performance,Database Performance Loss,2,3,7840841,stability,1,True,2024-06-25T00:00:00,2,True,enabled,4,4,4
rule_11,2024-06-07T00:00:00,2024-06-14T00:00:00,2,Security,Decreased Security,2,4,3442583,performance,0,False,2024-06-30T00:00:00,1,True,enabled,4,0,4
rule_12,2024-06-30T00:00:00,2024-06-30T00:00:00,4,Performance,Database Performance Loss,2,2,2631093,hardening,1,True,2024-06-30T00:00:00,10,True,enabled,3,4,5
rule_13,2024-06-09T00:00:00,2024-06-12T00:00:00,2,Security,Best Practice,1,2,2653117,tuning,3,True,2024-06-21T00:00:00,8,True,enabled,5,2,2
rule_14,2024-06-25T00:00:00,2024-06-28T00:00:00,3,Stability,Database Performance Loss,2,1,7873299,performance,0,False,2024-06-25T00:00:00,9,True,enabled,5,1,5
rule_15,2024-06-10T00:00:00,2024-06-20T00:00:00,3,Stability,Decreased Security,2,2,8350294,availability,2,True,2024-06-14T00:00:00,2,True,enabled,3,5,3
rule_16,2024-06-25T00:00:00,2024-06-25T00:00:00,1,Availability,Decreased Security,2,2,4932484,security,0,False,2024-06-26T00:00:00,3,True,enabled,4,1,1
rule_17,2024-06-02T00:00:00,2024-06-21T00:00:00,3,Stability,Database Performance Loss,2,5,9022133,performance,0,False,2024-06-28T00:00:00,8,True,enabled,4,2,3
rule_18,2024-06-18T00:00:00,2024-06-20T00:00:00,3,Stability,Database Performance Loss,2,2,5911837,availability,0,False,2024-06-19T00:00:00,4,True,enabled,4,5,3
rule_19,2024-06-05T00:00:00,2024-06-21T00:00:00,2,Security,Decreased Security,2,5,5359612,performance,0,True,2024-06-05T00:00:00,5,True,enabled,2,5,1
rule_20,2024-06-23T00:00:00,2024-06-28T00:00:00,3,Stability,Database Performance Loss,2,5,1806401,hardening,2,True,2024-06-26T00:00:00,10,True,enabled,1,0,0
rule_21,2024-06-17T00:00:00,2024-06-20T00:00:00,3,Stability,Database Performance Loss,2,2,4394433,database,0,True,2024-06-25T00:00:00,8,True,enabled,4,5,1
rule_22,2024-06-07T00:00:00,2024-06-21T00:00:00,4,Performance,Decreased Security,2,2,2173974,stability,3,True,2024-06-10T00:00:00,3,True,enabled,3,3,2
rule_23,2024-06-01T00:00:00,2024-06-19T00:00:00,2,Security,Database Performance Loss,2,5,6321755,stability,0,True,2024-06-11T00:00:00,6,True,enabled,2,4,4
rule_24,2024-06-14T00:00:00,2024-06-20T00:00:00,3,Stability,Best Practice,1,3,1510863,tuning,1,False,2024-06-26T00:00:00,4,True,enabled,4,3,1
rule_25,2024-06-14T00:00:00,2024-06-15T00:00:00,2,Security,Decreased Security,2,4,8454879,logging,0,True,2024-06-30T00:00:00,4,True,enabled,3,3,0
rule_26,2024-06-08T00:00:00,2024-06-10T00:00:00,4,Performance,Database Performance Loss,2,1,6383681,availability,0,False,2024-06-20T00:00:00,3,True,enabled,4,1,5
rule_27,2024-06-12T00:00:00,2024-06-14T00:00:00,3,Stability,Decreased Security,2,3,1137830,database,1,False,2024-06-23T00:00:00,2,True,enabled,4,0,1
rule_28,2024-06-16T00:00:00,2024-06-27T00:00:00,1,Availability,Best Practice,1,4,4386908,database,2,False,2024-06-20T00:00:00,10,True,enabled,5,4,2
rule_29,2024-06-17T00:00:00,2024-06-24T00:00:00,3,Stability,Decreased Security,2,2,2215917,database,2,True,2024-06-28T00:00:00,10,True,enabled,5,2,4
rule_30,2024-06-30T00:00:00,2024-06-30T00:00:00,3,Stability,Best Practice,1,2,4784323,database,0,False,2024-06-30T00:00:00,5,True,enabled,5,4,5
rule_31,2024-06-12T00:00:00,2024-06-19T00:00:00,2,Security,Database Performance Loss,2,4,7758656,security,1,False,2024-06-14T00:00:00,8,True,enabled,2,0,0
rule_32,2024-06-22T00:00:00,2024-06-28T00:00:00,3,Stability,Best Practice,1,4,7591721,performance,3,True,2024-06-22T00:00:00,1,True,enabled,1,3,0
rule_33,2024-06-14T00:00:00,2024-06-26T00:00:00,2,Security,Best Practice,1,4,2659079,hardening,3,True,2024-06-27T00:00:00,2,True,enabled,3,3,3
rule_34,2024-06-13T00:00:00,2024-06-17T00:00:00,1,Availability,Best Practice,1,5,6783792,hardening,2,True,2024-06-26T00:00:00,1,True,enabled,4,4,0
rule_35,2024-06-30T00:00:00,2024-06-30T00:00:00,4,Performance,Database Performance Loss,2,3,4448471,availability,2,False,2024-06-30T00:00:00,1,True,enabled,3,1,2
